Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,2508.770508,2606.432861,2469.388184,2537.891113,2537.891113,26964576331
2021-06-15,2587.762695,2639.229248,2515.153076,2610.936768,2610.936768,29005279219
2021-06-16,2544.864746,2554.628906,2354.350586,2367.663574,2367.663574,24101926180
2021-06-17,2367.306396,2457.175537,2312.301514,2372.001953,2372.001953,21871633186
2021-06-18,2374.586914,2377.195068,2147.308350,2231.733154,2231.733154,22752818388
2021-06-19,2235.159180,2278.415039,2168.885010,2178.499023,2178.499023,18765854896
2021-06-20,2171.337891,2275.382813,2049.962646,2246.364502,2246.364502,22535930423
2021-06-21,2245.317871,2259.464111,1867.185425,1888.447510,1888.447510,33745173825
2021-06-22,1886.667603,1993.159790,1707.600586,1874.950073,1874.950073,35547251725
2021-06-23,1878.625000,2043.530396,1827.571533,1989.736328,1989.736328,28408659206
2021-06-24,1968.957397,2032.339355,1887.432007,1988.456299,1988.456299,20272845769
2021-06-25,1989.215820,2017.759521,1794.400391,1813.217285,1813.217285,22774334998
2021-06-26,1810.884277,1850.179810,1719.559448,1829.239258,1829.239258,20637542361
2021-06-27,1830.996948,1979.958130,1811.245850,1978.894653,1978.894653,19885474742
2021-06-28,1981.386475,2139.805420,1963.615479,2079.657471,2079.657471,25514602841
2021-06-29,2083.448730,2242.238770,2076.240234,2160.768311,2160.768311,24815124419
2021-06-30,2164.216309,2282.989014,2090.760742,2274.547607,2274.547607,25828056268
2021-07-01,2274.397461,2274.397461,2081.081055,2113.605469,2113.605469,29061701793
2021-07-02,2109.892578,2155.596436,2021.824829,2150.040283,2150.040283,31796212554
2021-07-03,2150.834961,2237.567139,2117.590088,2226.114258,2226.114258,17433361641
2021-07-04,2226.550293,2384.286865,2190.837646,2321.724121,2321.724121,18787107473
2021-07-05,2321.922852,2321.922852,2163.041504,2198.582520,2198.582520,20103794829
2021-07-06,2197.919434,2346.294922,2197.919434,2324.679443,2324.679443,20891861314
2021-07-07,2323.208496,2403.773438,2298.026855,2315.161865,2315.161865,22398345285
2021-07-08,2317.949219,2324.006836,2089.414307,2120.026367,2120.026367,23188123689
2021-07-09,2115.573975,2185.376221,2051.066650,2146.692383,2146.692383,23029574602
2021-07-10,2146.999756,2190.124023,2081.923584,2111.403564,2111.403564,17581542471
2021-07-11,2110.875732,2172.653320,2083.803711,2139.664795,2139.664795,14705386138
2021-07-12,2140.506836,2167.710205,2011.018921,2036.721069,2036.721069,17768129077
2021-07-13,2034.098389,2040.693604,1922.577881,1940.083984,1940.083984,16621628658
2021-07-14,1941.167847,2015.107422,1869.223145,1994.331299,1994.331299,17342819679
2021-07-15,1994.712036,2037.742554,1883.272217,1911.175659,1911.175659,15688092552
2021-07-16,1916.598389,1959.696289,1853.590332,1880.382935,1880.382935,14884569147
2021-07-17,1876.881348,1917.597900,1855.590820,1898.825195,1898.825195,13364282076
2021-07-18,1900.194336,1988.336426,1883.012573,1895.552124,1895.552124,13791868728
2021-07-19,1893.053589,1916.118042,1807.909912,1817.296631,1817.296631,14157735481
2021-07-20,1819.082031,1836.998047,1722.050781,1787.510742,1787.510742,17368597636
2021-07-21,1786.276245,2025.680420,1759.023315,1990.970825,1990.970825,21253359756
2021-07-22,1994.822876,2044.116455,1954.297852,2025.202759,2025.202759,17495480331
2021-07-23,2025.105713,2129.441162,2000.436279,2124.776611,2124.776611,16200392492
2021-07-24,2123.961182,2197.649414,2107.323486,2189.218750,2189.218750,16057446601
2021-07-25,2187.145508,2194.438232,2108.829834,2191.373779,2191.373779,14566483636
2021-07-26,2191.309814,2428.817139,2177.329590,2233.366699,2233.366699,29614324233
2021-07-27,2230.197021,2316.950195,2154.731201,2298.333496,2298.333496,23067480378
2021-07-28,2302.081299,2341.777832,2250.914063,2296.545410,2296.545410,18991302378
2021-07-29,2299.011963,2396.451904,2273.404785,2380.956787,2380.956787,16313373113
2021-07-30,2382.545166,2469.704834,2322.337158,2466.961426,2466.961426,20212848934
2021-07-31,2461.575684,2551.161133,2423.816162,2536.209961,2536.209961,18001710283
2021-08-01,2530.462891,2695.429443,2520.931885,2561.852051,2561.852051,22697987055
2021-08-02,2557.774658,2665.730957,2511.375244,2610.153320,2610.153320,22162754104
